step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
253,CASH_IN,69096.79,C346104143,452627.7,521724.49,C215505878,456062.92,386966.13,0,0
254,CASH_OUT,191768.82,C1239540954,0.0,0.0,C252489504,290700.84,482469.66,0,0
688,CASH_OUT,16226.15,C725638901,105234.0,89007.85,C105509119,1043954.55,1060180.7,0,0
402,PAYMENT,5412.37,C530701682,0.0,0.0,M241208618,0.0,0.0,0,0
255,CASH_IN,59432.78,C1319332124,1362434.94,1421867.72,C1638813012,405966.88,346534.1,0,0
307,CASH_OUT,397972.37,C1500712673,20247.0,0.0,C256763146,869774.93,1267747.3,0,0
283,PAYMENT,7083.36,C236600215,123842.0,116758.64,M1941284768,0.0,0.0,0,0
36,PAYMENT,3696.72,C1624225407,621726.48,618029.76,M563821784,0.0,0.0,0,0
225,CASH_IN,176253.83,C1376384613,11053365.63,11229619.46,C1899884926,735773.51,559519.68,0,0
395,PAYMENT,33930.59,C1918882438,37499.0,3568.41,M2076180119,0.0,0.0,0,0
154,TRANSFER,456704.95,C941057237,0.0,0.0,C1152456534,1434593.0,1891297.95,0,0
692,CASH_IN,352358.44,C1363588449,3762117.56,4114476.0,C543988964,589343.93,236985.49,0,0
333,PAYMENT,13210.4,C1888394358,0.0,0.0,M98070553,0.0,0.0,0,0
180,PAYMENT,24188.88,C1868659564,34384.0,10195.12,M78613178,0.0,0.0,0,0
177,PAYMENT,12732.95,C81350487,0.0,0.0,M1436174205,0.0,0.0,0,0
22,CASH_IN,61934.56,C1426000636,101934.57,163869.14,C820473497,3466713.37,3404778.81,0,0
400,PAYMENT,27628.82,C1879975030,264907.83,237279.01,M993944473,0.0,0.0,0,0
203,PAYMENT,6773.11,C1547399144,477176.85,470403.74,M1544241494,0.0,0.0,0,0
378,PAYMENT,5995.93,C1802205312,0.0,0.0,M1041228560,0.0,0.0,0,0
231,CASH_IN,257559.2,C871357568,172.0,257731.2,C316784297,0.0,0.0,0,0
43,CASH_OUT,109401.74,C875932479,0.0,0.0,C2096858968,3421864.77,3531266.5,0,0
184,PAYMENT,35852.0,C1583498445,105246.0,69394.0,M1962840742,0.0,0.0,0,0
398,CASH_IN,76161.69,C537376156,11013.0,87174.69,C211412356,647862.25,571700.57,0,0
13,PAYMENT,4887.89,C595528023,0.0,0.0,M657494736,0.0,0.0,0,0
332,PAYMENT,12723.69,C1672395983,29995.0,17271.31,M1868255428,0.0,0.0,0,0
308,CASH_OUT,109424.14,C1850814655,11230.0,0.0,C219410592,0.0,109424.14,0,0
307,TRANSFER,616140.75,C303810585,0.0,0.0,C1822337350,1994676.42,2610817.17,0,0
129,CASH_OUT,184952.44,C561569125,223.0,0.0,C1844465462,65761.21,250713.65,0,0
256,CASH_OUT,196217.64,C1475961018,40261.0,0.0,C1923304636,0.0,196217.64,0,0
404,CASH_OUT,10878.27,C615950606,0.0,0.0,C2062998593,69055.9,79934.17,0,0
661,CASH_IN,161747.78,C496891592,7398615.31,7560363.09,C719983571,386869.37,225121.58,0,0
332,CASH_OUT,308493.06,C759882944,0.0,0.0,C843067070,1829087.95,2137581.01,0,0
396,CASH_IN,30103.5,C548759090,2442583.62,2472687.13,C521516095,202320.44,172216.94,0,0
354,CASH_OUT,168950.75,C482275080,0.0,0.0,C871611504,3354267.57,3523218.31,0,0
304,CASH_OUT,35885.12,C1475821775,51766.0,15880.88,C728172793,879859.33,915744.45,0,0
44,PAYMENT,30648.95,C1357042722,0.0,0.0,M234294163,0.0,0.0,0,0
550,CASH_OUT,52151.88,C565794525,50899.0,0.0,C1486590896,45214.29,97366.17,0,0
10,CASH_OUT,375881.77,C1211709144,19835.0,0.0,C1427825258,1949692.74,2684179.29,0,0
10,PAYMENT,4316.89,C2021941432,32702.0,28385.11,M1235330192,0.0,0.0,0,0
225,PAYMENT,1589.03,C617279799,0.0,0.0,M951097754,0.0,0.0,0,0
353,CASH_OUT,55.99,C1160886646,0.0,0.0,C1913338240,728058.71,728114.7,0,0
355,TRANSFER,882057.76,C872562572,10373.0,0.0,C2056465250,3979579.99,4861637.75,0,0
406,PAYMENT,2275.44,C524900159,51401.0,49125.56,M512200364,0.0,0.0,0,0
20,TRANSFER,596500.06,C743552959,0.0,0.0,C1809457826,3467839.01,4064339.07,0,0
187,CASH_OUT,61864.8,C888066941,0.0,0.0,C876446344,112688.39,174553.19,0,0
204,CASH_OUT,435577.75,C357211416,0.0,0.0,C1850508675,3419911.21,3855488.96,0,0
13,PAYMENT,16515.33,C791544198,3165.0,0.0,M1805185591,0.0,0.0,0,0
400,CASH_OUT,140745.53,C1114712578,78246.0,0.0,C1509833533,12505.95,153251.48,0,0
156,CASH_OUT,379019.79,C2083865648,0.0,0.0,C649699940,2110309.25,2489329.03,0,0
299,CASH_OUT,178719.39,C1466767016,0.0,0.0,C983564418,1215894.74,1394614.13,0,0
183,CASH_OUT,233161.65,C1840867601,0.0,0.0,C1909010482,576199.97,809361.63,0,0
356,CASH_OUT,192750.06,C477704195,10456.0,0.0,C940223181,0.0,192750.06,0,0
403,CASH_IN,67284.22,C521014609,2652445.18,2719729.39,C1403150795,1554789.28,1487505.07,0,0
379,CASH_IN,1566.66,C1553358990,2919815.53,2921382.19,C1654830114,8404.33,6837.67,0,0
253,CASH_OUT,137932.59,C2070110041,20221.0,0.0,C1550763114,1550545.67,2107636.81,0,0
9,CASH_OUT,11404.67,C512053880,0.0,0.0,C491284231,51681.0,165646.56,0,0
329,PAYMENT,13271.12,C31742667,0.0,0.0,M1861848007,0.0,0.0,0,0
10,CASH_OUT,331283.54,C67324847,52385.0,0.0,C361570413,69606.0,12967.62,0,0
40,PAYMENT,11090.83,C97385872,0.0,0.0,M463770485,0.0,0.0,0,0
21,CASH_IN,339435.48,C502775436,2705203.64,3044639.11,C1579439357,1049619.34,710183.86,0,0
11,CASH_OUT,445987.97,C579188111,0.0,0.0,C1071651985,859721.64,991763.37,0,0
330,CASH_IN,223843.93,C1579193048,42824.0,266667.93,C558068846,0.0,0.0,0,0
210,PAYMENT,13778.3,C1745928694,22718.0,8939.7,M570838925,0.0,0.0,0,0
180,PAYMENT,8866.58,C1705722529,0.0,0.0,M1916559094,0.0,0.0,0,0
142,CASH_OUT,199651.9,C1576517911,0.0,0.0,C443858885,3731153.96,3930805.86,0,0
10,CASH_OUT,268982.36,C1293889707,0.0,0.0,C469298476,936454.68,254638.64,0,0
328,CASH_OUT,86729.35,C252116353,26852.0,0.0,C464418115,4291982.49,4378711.84,0,0
394,CASH_IN,80851.72,C737397984,3008780.17,3089631.89,C509325106,450137.87,369286.15,0,0
239,PAYMENT,8546.94,C1573684177,6967.0,0.0,M1997891500,0.0,0.0,0,0
178,CASH_IN,185836.26,C495812342,1910251.72,2096087.98,C1505218838,220085.07,34248.82,0,0
300,PAYMENT,788.15,C1724005718,0.0,0.0,M1590442657,0.0,0.0,0,0
586,CASH_IN,249521.06,C1169182334,3305.85,252826.92,C229664651,837033.55,587512.48,0,0
20,CASH_OUT,19895.19,C1394867687,0.0,0.0,C1943372622,207562.84,227458.03,0,0
185,CASH_OUT,217143.97,C566304468,0.0,0.0,C2073074781,308423.39,525567.37,0,0
204,TRANSFER,314322.86,C331466081,865.0,0.0,C1942670423,0.0,314322.86,0,0
207,CASH_OUT,93059.51,C1081348524,20790.0,0.0,C2027476570,5269417.43,5362476.94,0,0
137,CASH_OUT,159964.27,C816280963,100.0,0.0,C1148623133,282789.38,442753.65,0,0
718,PAYMENT,3352.78,C344724977,145846.0,142493.22,M1713161936,0.0,0.0,0,0
178,CASH_IN,376409.57,C2005860968,5834141.25,6210550.82,C2014399638,20201835.19,19825425.62,0,0
308,PAYMENT,13302.73,C1182874335,213954.0,200651.27,M107111575,0.0,0.0,0,0
132,PAYMENT,10784.05,C1509522467,12205.0,1420.95,M1371469431,0.0,0.0,0,0
143,CASH_IN,4169.96,C815275364,1632020.33,1636190.28,C1990953380,2208805.17,2204635.22,0,0
96,PAYMENT,6801.34,C210810472,0.0,0.0,M262425718,0.0,0.0,0,0
407,CASH_IN,209078.27,C1550903144,5236685.17,5445763.44,C395745135,1342318.55,1133240.28,0,0
236,CASH_IN,147328.5,C1207066111,114672.0,262000.5,C444669841,0.0,0.0,0,0
232,CASH_IN,190091.62,C1294224175,1058226.59,1248318.22,C771071609,14950698.38,14760606.76,0,0
260,CASH_OUT,284999.57,C1327237902,0.0,0.0,C1514991332,361052.23,646051.79,0,0
36,TRANSFER,1389660.36,C1073929600,0.0,0.0,C633966839,4086217.91,7139858.17,0,0
249,PAYMENT,36440.5,C1148063119,0.0,0.0,M1651993737,0.0,0.0,0,0
255,CASH_IN,91311.65,C497862388,140887.0,232198.65,C282482297,119559.77,28248.12,0,0
303,CASH_OUT,85283.29,C1502207253,283.0,0.0,C137347155,485492.5,570775.79,0,0
204,CASH_IN,74794.4,C396993157,42.0,74836.4,C1797358103,0.0,0.0,0,0
715,CASH_OUT,140562.02,C1828650110,12113.0,0.0,C1831772027,1552420.54,1692982.56,0,0
332,PAYMENT,17751.44,C381255900,490.0,0.0,M593616498,0.0,0.0,0,0
180,CASH_IN,262074.86,C66086146,51252.0,313326.86,C518263315,248841.38,0.0,0,0
297,CASH_IN,144686.01,C334242559,114325.0,259011.01,C936787310,0.0,0.0,0,0
355,PAYMENT,39207.16,C558755996,0.0,0.0,M1757049995,0.0,0.0,0,0
500,PAYMENT,10289.47,C1691281488,0.0,0.0,M446187038,0.0,0.0,0,0
232,CASH_OUT,170064.65,C1591084192,1983.0,0.0,C972715809,666679.67,836744.32,0,0
398,PAYMENT,23617.21,C922372825,0.0,0.0,M2132781489,0.0,0.0,0,0
212,PAYMENT,11944.2,C358902237,0.0,0.0,M1174070085,0.0,0.0,0,0
143,CASH_IN,133535.42,C1025130264,3011.0,136546.42,C1791483178,305083.57,171548.15,0,0
206,CASH_OUT,226965.97,C177058157,496709.0,269743.03,C895656192,528388.1,755354.06,0,0
143,PAYMENT,32771.52,C947338361,0.0,0.0,M565866540,0.0,0.0,0,0
300,PAYMENT,35683.1,C528786373,48363.0,12679.9,M712637366,0.0,0.0,0,0
157,PAYMENT,339.71,C2109796966,491.0,151.29,M964909157,0.0,0.0,0,0
227,CASH_IN,5446.7,C193282917,22255025.14,22260471.84,C1270516,12315749.85,12310303.15,0,0
17,PAYMENT,26326.01,C497165557,104398.65,78072.64,M1905656714,0.0,0.0,0,0
407,CASH_IN,213741.47,C663991729,9277222.21,9490963.67,C554849660,3150798.77,2937057.3,0,0
348,CASH_IN,32089.04,C1479885130,17688572.8,17720661.84,C1443433686,80631.58,48542.54,0,0
307,PAYMENT,12107.02,C332798872,1159.19,0.0,M1877751631,0.0,0.0,0,0
179,CASH_OUT,131285.04,C1175875093,0.0,0.0,C1996307936,131435.15,262720.19,0,0
237,CASH_OUT,15628.99,C1911612007,0.0,0.0,C1667534065,421063.46,436692.45,0,0
249,CASH_OUT,290726.15,C1702417562,0.0,0.0,C1038054475,9449393.14,9740119.3,0,0
235,CASH_IN,366289.44,C249513401,15160949.96,15527239.4,C1987951245,1669259.35,1302969.91,0,0
348,CASH_OUT,103127.99,C478852242,113327.45,10199.46,C848636191,616261.11,719389.1,0,0
140,CASH_OUT,33024.06,C452407966,0.0,0.0,C786685216,789088.66,822112.73,0,0
401,CASH_OUT,28533.61,C549853268,11626.0,0.0,C621029623,3842.0,32375.61,0,0
154,PAYMENT,11418.94,C1947115794,31376.0,19957.06,M1603153994,0.0,0.0,0,0
229,PAYMENT,5763.38,C5716840,0.0,0.0,M104303739,0.0,0.0,0,0
140,CASH_OUT,181674.49,C409986084,9506.0,0.0,C1127705091,1529612.87,1711287.36,0,0
13,CASH_IN,56040.81,C1676772185,1284165.35,1340206.16,C1583798365,3097945.95,2982897.31,0,0
143,PAYMENT,2426.88,C125351390,0.0,0.0,M82452545,0.0,0.0,0,0
297,CASH_OUT,54827.74,C546556612,0.0,0.0,C1962554491,1847113.46,1901941.2,0,0
153,CASH_OUT,168352.98,C1864690235,11840.0,0.0,C313410220,2490644.08,2658997.05,0,0
227,TRANSFER,1387987.24,C781624268,0.0,0.0,C893338555,10260136.41,11648123.64,0,0
203,PAYMENT,828.77,C76345512,0.0,0.0,M386401495,0.0,0.0,0,0
348,CASH_OUT,540035.86,C1279122529,0.0,0.0,C787762547,2424508.24,3163159.04,0,0
231,CASH_OUT,426626.66,C425246571,6361.0,0.0,C1130054760,29047.69,455674.35,0,0
259,CASH_IN,93455.26,C2108729224,684043.92,777499.18,C41006872,398694.97,305239.72,0,0
359,CASH_IN,112906.1,C37674869,211207.86,324113.96,C1642521477,4823835.54,4710929.44,0,0
42,CASH_IN,416581.41,C792311277,919168.58,1335750.0,C200591221,2071666.32,1655084.91,0,0
153,TRANSFER,765667.37,C1386753411,465358.0,0.0,C1804102987,414414.04,1180081.42,0,0
190,CASH_OUT,90827.63,C929902602,0.0,0.0,C1762777508,402847.05,493674.68,0,0
188,CASH_OUT,146968.15,C1064443155,0.0,0.0,C616338611,338226.64,485194.8,0,0
17,CASH_OUT,92747.74,C1254549853,1542177.42,1449429.69,C1734994489,2213594.64,2306342.37,0,0
38,CASH_OUT,122350.78,C614901293,0.0,0.0,C1086608977,326427.21,448777.99,0,0
687,PAYMENT,9555.7,C842561798,3959.0,0.0,M2011670396,0.0,0.0,0,0
179,CASH_OUT,256844.82,C416112414,0.0,0.0,C2079765316,677031.15,933875.97,0,0
161,CASH_OUT,150871.28,C2125639905,0.0,0.0,C704814119,322370.12,473241.4,0,0
282,CASH_IN,192319.4,C1238765287,253529.77,445849.17,C411641166,462475.52,270156.12,0,0
213,CASH_OUT,62496.29,C121076153,0.0,0.0,C971098560,259750.36,322246.65,0,0
404,CASH_OUT,167308.79,C1536117752,0.0,0.0,C1340421978,213506.8,380815.59,0,0
139,CASH_OUT,20929.67,C578855823,196.0,0.0,C859634383,396753.33,417683.0,0,0
12,CASH_OUT,314496.4,C1537314359,51819.0,0.0,C1980362311,315535.22,630031.62,0,0
19,PAYMENT,23731.14,C989349096,0.0,0.0,M836102184,0.0,0.0,0,0
393,PAYMENT,19557.97,C1557782000,0.0,0.0,M175220803,0.0,0.0,0,0
15,CASH_IN,4467.82,C490544805,8735516.46,8739984.27,C496026629,314991.09,510085.24,0,0
133,CASH_IN,412618.12,C916317297,243.0,412861.12,C996328242,101311.88,0.0,0,0
260,PAYMENT,5574.99,C1410191627,0.0,0.0,M2064161327,0.0,0.0,0,0
351,TRANSFER,1761053.29,C2097323847,272013.76,0.0,C2024299296,6766105.77,8527159.07,0,0
396,PAYMENT,2485.04,C2002076511,33947.0,31461.96,M935444748,0.0,0.0,0,0
373,TRANSFER,2662.65,C444759177,10243.0,7580.35,C346834821,260600.52,263263.17,0,0
134,CASH_OUT,472040.59,C414592105,0.0,0.0,C1348373832,2156958.36,2638359.19,0,0
256,PAYMENT,12519.44,C1855815504,259779.75,247260.31,M1949945490,0.0,0.0,0,0
136,TRANSFER,737033.56,C450851717,22415.0,0.0,C1628714130,708882.67,1445916.23,0,0
257,CASH_OUT,67062.29,C1485512447,0.0,0.0,C1578184910,295002.27,362064.56,0,0
191,CASH_OUT,330292.01,C321765460,0.0,0.0,C2012491460,488904.53,819196.54,0,0
188,CASH_OUT,8572.7,C1891294948,10917.0,2344.3,C183342505,31833.2,40405.9,0,0
181,PAYMENT,10474.77,C1757904975,0.0,0.0,M485137510,0.0,0.0,0,0
474,CASH_IN,26484.82,C1485121643,8937692.59,8964177.41,C1029614917,1676655.4,1650170.58,0,0
324,CASH_OUT,200152.36,C1788926646,6366.0,0.0,C112904096,614549.6,814701.95,0,0
303,PAYMENT,14207.89,C1302349328,0.0,0.0,M1216801587,0.0,0.0,0,0
356,CASH_OUT,115978.12,C2028374381,8045.0,0.0,C497344808,60221.6,176199.73,0,0
301,CASH_IN,242481.59,C354909872,55385.0,297866.59,C549836421,230398.96,0.0,0,0
33,PAYMENT,2381.17,C2007103577,0.0,0.0,M702866999,0.0,0.0,0,0
204,CASH_OUT,77329.39,C1798571278,0.0,0.0,C1333092428,482484.03,559813.43,0,0
137,CASH_IN,197612.96,C844757053,33524.0,231136.96,C738295664,94820.83,0.0,0,0
283,TRANSFER,550608.23,C1892890525,0.0,0.0,C1632454448,2308876.83,2859485.06,0,0
544,PAYMENT,28376.42,C1815378866,20121.0,0.0,M1251637446,0.0,0.0,0,0
138,PAYMENT,6835.16,C595953622,99989.0,93153.84,M1650666879,0.0,0.0,0,0
18,CASH_IN,11661.28,C338037767,3515071.66,3526732.94,C1142318514,75796.18,64134.9,0,0
352,CASH_OUT,118346.06,C1422362988,0.0,0.0,C121078741,9933981.45,10052327.52,0,0
252,CASH_OUT,53841.57,C1697301379,0.0,0.0,C1543836045,636871.6,690713.17,0,0
299,CASH_OUT,416100.94,C341777533,0.0,0.0,C1446895196,857107.85,1273208.79,0,0
19,PAYMENT,9234.21,C1179680871,5926.0,0.0,M223413971,0.0,0.0,0,0
229,PAYMENT,12410.67,C1575726214,424821.5,412410.83,M846093046,0.0,0.0,0,0
395,CASH_OUT,583238.57,C11519783,10803.0,0.0,C1227585599,358836.77,942075.34,0,0
399,CASH_IN,230985.4,C2125161412,4247352.12,4478337.52,C1677294776,4783266.32,4552280.92,0,0
347,PAYMENT,12532.14,C905632386,199147.0,186614.86,M531284367,0.0,0.0,0,0
258,CASH_OUT,78760.49,C414684611,0.0,0.0,C1892909836,424923.23,503683.72,0,0
358,TRANSFER,894898.99,C666003461,0.0,0.0,C1345463476,13033659.31,13928558.31,0,0
18,CASH_OUT,125860.79,C2047772627,0.0,0.0,C1250603456,776258.01,902118.8,0,0
307,CASH_OUT,71070.08,C1210766869,50107.0,0.0,C1527037807,0.0,71070.08,0,0
403,CASH_OUT,156272.51,C1398085898,0.0,0.0,C1872951699,3528088.8,3684361.31,0,0
135,CASH_OUT,51533.24,C1639092240,21481.0,0.0,C1110122885,482199.8,533733.05,0,0
205,CASH_OUT,171331.51,C766067738,0.0,0.0,C897529465,4820583.53,4991915.04,0,0
234,PAYMENT,14619.78,C973398157,173574.63,158954.85,M440299115,0.0,0.0,0,0
522,CASH_IN,61658.79,C63087917,735888.96,797547.75,C1696202117,895698.85,834040.06,0,0
307,CASH_IN,572702.18,C1952018305,12962634.97,13535337.14,C1652717345,84712601.18,84139899.0,0,0
375,CASH_IN,254595.87,C561400610,3766906.26,4021502.13,C80582796,5074078.29,4819482.43,0,0
137,TRANSFER,34697.3,C1930343540,0.0,0.0,C1047964981,44753.07,41623.98,0,0
378,CASH_OUT,284869.72,C402256563,0.0,0.0,C1411820915,319122.7,603992.42,0,0
330,CASH_OUT,265851.8,C970882811,0.0,0.0,C318569453,394477.3,660329.1,0,0
286,PAYMENT,24445.68,C1407914035,0.0,0.0,M1141657061,0.0,0.0,0,0
334,PAYMENT,3079.38,C1299279081,150036.0,146956.62,M194974906,0.0,0.0,0,0
249,PAYMENT,1706.02,C1658629432,0.0,0.0,M1547032002,0.0,0.0,0,0
258,PAYMENT,1080.06,C1626912568,0.0,0.0,M1474999463,0.0,0.0,0,0
262,CASH_OUT,117445.6,C32731229,0.0,0.0,C1298136730,162694.32,280139.91,0,0
256,PAYMENT,2780.23,C1091972453,1000.0,0.0,M1406301358,0.0,0.0,0,0
188,PAYMENT,11595.42,C162981183,4138.0,0.0,M2096058645,0.0,0.0,0,0
399,CASH_IN,218098.93,C655015395,9058087.33,9276186.26,C209941417,11994090.94,11775992.01,0,0
160,CASH_OUT,88214.02,C1172183437,54134.0,0.0,C981598245,4953789.58,5042003.6,0,0
404,CASH_OUT,167314.13,C460777485,411803.0,244488.87,C1733446642,927014.28,1094328.41,0,0
252,CASH_OUT,258260.95,C1412647819,25277.0,0.0,C2095433184,67063.05,237699.49,0,0
181,CASH_IN,278745.36,C718747292,100583.0,379328.36,C1852136233,281771.11,3025.76,0,0
322,PAYMENT,24223.76,C1380286607,0.0,0.0,M767929937,0.0,0.0,0,0
251,CASH_IN,58535.5,C953977964,37785.0,96320.5,C1642486862,0.0,0.0,0,0
281,CASH_IN,112845.81,C1765299498,197251.0,310096.81,C1485847961,543.0,50971.81,0,0
140,CASH_IN,37886.62,C1809662273,499250.0,537136.62,C2108061954,0.0,0.0,0,0
522,PAYMENT,583.23,C1411756020,127685.98,127102.76,M1188995653,0.0,0.0,0,0
589,PAYMENT,7012.27,C951183587,0.0,0.0,M78065774,0.0,0.0,0,0
15,CASH_OUT,36967.48,C1582997434,0.0,0.0,C335554771,349923.21,386890.69,0,0
18,CASH_IN,160980.63,C2090681404,45449.0,206429.63,C687759656,437080.92,349889.39,0,0
275,PAYMENT,18280.07,C1290335559,0.0,0.0,M82587472,0.0,0.0,0,0
369,CASH_IN,239334.27,C694050442,3710.0,243044.27,C1016483141,434771.96,195437.69,0,0
236,PAYMENT,6084.34,C969625933,0.0,0.0,M843838794,0.0,0.0,0,0
34,PAYMENT,7870.14,C633262007,15010.0,7139.86,M86939257,0.0,0.0,0,0
330,CASH_OUT,26275.35,C1796340993,46867.0,20591.65,C258640698,0.0,26275.35,0,0
131,PAYMENT,7248.91,C1492856366,0.0,0.0,M2118516391,0.0,0.0,0,0
403,CASH_IN,164870.48,C1349723870,15393.0,180263.48,C426118245,193271.57,28401.1,0,0
39,CASH_OUT,2594.07,C1967257072,0.0,0.0,C57125108,2371825.39,2374419.46,0,0
37,TRANSFER,895697.95,C2118652755,68269.0,0.0,C726926571,581809.59,1477507.54,0,0
379,CASH_OUT,19116.86,C2120790875,0.0,0.0,C271054696,968600.32,987717.18,0,0
335,CASH_IN,41365.72,C169816985,5072522.07,5113887.79,C1456859576,208794.82,167429.1,0,0
550,PAYMENT,15405.89,C660288947,0.0,0.0,M1930910011,0.0,0.0,0,0
188,PAYMENT,33.87,C1675509557,32985.0,32951.13,M1453712483,0.0,0.0,0,0
14,CASH_IN,184939.56,C1482820570,87982.0,272921.56,C328462619,144937.75,0.0,0,0
585,CASH_IN,10217.83,C1285437821,8348626.02,8358843.85,C877503510,2307917.86,2297700.04,0,0
259,CASH_OUT,117845.97,C1538856121,0.0,0.0,C1944924806,5015908.45,5133754.42,0,0
331,CASH_OUT,169382.39,C1939225042,20001.0,0.0,C537859337,160536.73,329919.12,0,0
185,CASH_IN,264791.96,C168473325,126.0,264917.96,C1517884010,6396511.51,6131719.54,0,0
164,CASH_OUT,8930.6,C626003648,343281.67,334351.07,C2047483413,1781196.2,1790126.8,0,0
321,TRANSFER,365736.79,C415489210,0.0,0.0,C1134485447,422309.23,788046.02,0,0
396,CASH_OUT,415252.98,C415664274,0.0,0.0,C766951461,672878.69,904948.94,0,0
331,CASH_OUT,102889.45,C1395406051,45393.0,0.0,C462414170,19830.08,122719.53,0,0
396,CASH_OUT,272563.95,C1759379890,0.0,0.0,C1851803055,417002.91,689566.86,0,0
260,CASH_IN,120017.93,C1779697856,41722.0,161739.93,C1529376100,1209130.43,1089112.51,0,0
11,PAYMENT,6531.53,C796810969,334594.65,328063.12,M1651001102,0.0,0.0,0,0
